Lap Times,Passed Gates,Max Velocity,Mean Velocity
6.70,4,2.10,1.26
7.28,4,2.12,1.20
6.84,4,2.13,1.26
7.14,4,2.10,1.21
6.84,4,2.10,1.23
6.70,4,2.10,1.30
6.54,4,2.17,1.27
6.40,4,2.09,1.31
6.50,4,2.11,1.31
6.42,4,2.17,1.30
6.66,4,2.11,1.31
6.58,4,2.17,1.27
7.04,4,2.03,1.22
6.56,4,2.06,1.31
7.06,4,2.17,1.24
6.84,4,2.09,1.25
6.58,4,2.12,1.28
-1.00,3,2.00,1.26
6.48,4,2.08,1.29
6.46,4,2.08,1.33
6.40,4,2.13,1.28
6.60,4,2.14,1.29
6.52,4,2.10,1.28
6.56,4,2.15,1.29
6.46,4,2.20,1.33
6.50,4,2.08,1.29
-1.00,3,2.13,1.26
6.64,4,2.13,1.30
6.68,4,2.10,1.25
6.96,4,2.12,1.26
6.60,4,2.18,1.29
-1.00,1,1.98,1.35
7.06,4,2.08,1.23
6.50,4,2.12,1.31
6.40,4,2.12,1.32
7.32,4,2.03,1.17
6.82,4,2.08,1.24
6.76,4,2.09,1.29
6.86,4,2.08,1.26
7.08,4,2.10,1.23
6.48,4,2.12,1.32
6.44,4,2.08,1.33
6.70,4,2.12,1.28
6.70,4,2.12,1.23
7.10,4,2.01,1.21
6.76,4,2.16,1.25
-1.00,3,2.10,1.31
6.90,4,2.11,1.24
6.76,4,2.14,1.26
6.64,4,2.06,1.27
6.48,4,2.16,1.30
-1.00,1,1.93,1.27
6.66,4,2.11,1.30
7.14,4,2.13,1.22
6.86,4,2.10,1.26
6.26,4,2.14,1.34
6.88,4,2.00,1.22
7.24,4,2.07,1.19
7.44,4,2.03,1.16
-1.00,1,2.04,1.28
6.72,4,2.07,1.26
6.76,4,2.09,1.24
6.34,4,2.06,1.35
-1.00,3,2.10,1.32
6.64,4,2.14,1.30
6.92,4,2.08,1.22
6.98,4,2.11,1.24
6.56,4,2.18,1.32
6.82,4,2.10,1.24
6.66,4,2.15,1.28
6.72,4,2.13,1.27
-1.00,1,2.04,1.27
6.54,4,2.13,1.30
6.56,4,2.06,1.30
6.42,4,2.07,1.32
6.48,4,2.10,1.27
-1.00,3,2.05,1.31
6.88,4,2.20,1.22
6.34,4,2.12,1.31
-1.00,3,2.14,1.31
6.74,4,2.04,1.25
6.66,4,2.16,1.28
7.22,4,2.10,1.22
6.38,4,2.09,1.33
6.46,4,2.14,1.33
6.42,4,2.12,1.31
6.72,4,2.04,1.27
6.74,4,2.10,1.29
6.46,4,2.15,1.29
6.54,4,2.07,1.27
6.36,4,2.09,1.31
6.46,4,2.15,1.32
6.60,4,2.07,1.30
6.70,4,2.10,1.26
7.08,4,2.10,1.20
6.30,4,2.09,1.33
7.04,4,2.09,1.25
6.44,4,2.04,1.29
6.58,4,2.03,1.30
7.10,4,2.10,1.22
